Este(m);Norte(m);Cota(m);Al(%);Fe(%);Campana
6850;1552.93;1306.98;1.05;65.13;CHIST
6850;1557.69;1298.73;1.19;37.96;CHIST
6850;1561.79;1291.63;1.05;36.62;CHIST
6850;1564.47;1287;1.07;66.16;CHIST
6850;1568.04;1280.8;1.56;38.37;CHIST
6850;1571.91;1274.11;1.48;41.38;CHIST
6949.99;1553.23;1381.23;0.17;66.77;CHIST
6949.99;1558.23;1372.57;0.21;68.74;CHIST
6949.99;1561.66;1366.64;0.28;68.52;CHIST
6949.99;1565.08;1360.71;2.53;64.54;CHIST
6949.99;1568.27;1355.18;2.53;64.54;CHIST
6949.99;1571.46;1349.66;1.97;65.76;CHIST
6949.99;1574.31;1344.73;1.97;65.76;CHIST
6949.99;1577.16;1339.79;4.39;58.8;CHIST
6949.99;1581.12;1332.93;6.75;51.1;CHIST
6949.99;1584.93;1326.32;2.95;63.27;CHIST
6949.99;1599.43;1301.21;1.84;37.63;CHIST
6949.99;1604.43;1292.55;1.6;39.53;CHIST
6949.99;1609.43;1283.89;1.09;40.33;CHIST
6949.99;1612.92;1277.85;1.01;40.43;CHIST
6949.98;1607.61;1395.29;1.89;64.62;CHIST
6949.98;1611.24;1389.01;1.87;65.63;CHIST
6949.98;1614.86;1382.74;2.29;64.41;CHIST
6949.98;1619.86;1374.08;2.82;63.96;CHIST
6949.98;1624.86;1365.42;3.33;62.56;CHIST
6949.98;1629.59;1357.23;2.04;63.85;CHIST
6949.98;1635.41;1347.14;2.08;61.38;CHIST
6949.98;1640.41;1338.48;1.81;62.25;CHIST
6949.98;1645.41;1329.82;1.41;63.49;CHIST
6949.98;1648.04;1325.27;1.38;63.58;CHIST
6949.98;1656.86;1309.99;1.74;38.1;CHIST
6949.98;1661.11;1302.63;0.85;31.71;CHIST
6949.98;1666.11;1293.97;0.87;32.32;CHIST
6949.98;1671.11;1285.31;0.66;36.98;CHIST
6949.98;1675.49;1277.73;0.56;33.45;CHIST
6649.98;1297.02;1357.44;1.93;61.24;CNEW
6649.98;1292.39;1349.43;1.82;63.63;CNEW
6649.98;1287.74;1341.38;1.25;61.95;CNEW
6649.98;1282.92;1333.02;1.53;55.24;CNEW
6649.98;1278.09;1324.66;2.12;58.14;CNEW
6649.98;1273.14;1316.09;2.81;60.09;CNEW
6649.98;1268.19;1307.51;2.81;47.95;CNEW
6649.98;1263.88;1300.04;3.27;45.56;CNEW
6649.98;1256.94;1288.03;1.71;47.04;CNEW
6649.98;1251.94;1279.37;0.86;43.22;CNEW
6649.98;1248.33;1273.11;0.31;39.38;CNEW
6649.98;1245.34;1267.94;0.7;42.69;CNEW
6800.28;1566.2;1336.03;0.78;68.24;CHIST
6800.23;1569.58;1330.24;0.83;68.35;CHIST
6800.19;1571.93;1326.32;2.29;58.68;CHIST
6800.05;1575.99;1319.57;1.63;47.97;CHIST
6799.92;1578.78;1314.92;1.63;47.97;CHIST
6799.76;1581.49;1310.4;1.8;41.25;CHIST
6799.38;1586.57;1301.97;2.04;38.32;CHIST
6798.94;1591.85;1293.49;1.19;30.52;CHIST
6798.39;1597.12;1285.01;1.25;28.64;CHIST
6797.79;1602.38;1276.53;0.94;32.81;CHIST
6797.08;1607.64;1268.05;0.62;30.29;CHIST
6796.39;1612.19;1260.67;0.62;29.69;CHIST
6795.64;1616.74;1253.29;0.4;33.02;CHIST
6795.1;1619.74;1248.59;0.4;33.02;CHIST
